OA,ts0040001,ts0040002,ts0040003,ts0040004,ts0040005,ts0040006,ts0040007,ts0040008,ts0040009,ts0040010,ts0040011,ts0040012,ts0040013,ts0040014,ts0040015,ts0040002_PCT,ts0040003_PCT,ts0040004_PCT,ts0040005_PCT,ts0040006_PCT,ts0040007_PCT,ts0040008_PCT,ts0040009_PCT,ts0040010_PCT,ts0040011_PCT,ts0040012_PCT,ts0040013_PCT,ts0040014_PCT,ts0040015_PCT
W00006891,353,347,317,28,3,11,12,2,2,2,0,5,1,0,0,98.30028328611898,89.80169971671388,7.932011331444759,0.84985835694051,3.1161473087818696,3.39943342776204,0.56657223796034,0.56657223796034,0.56657223796034,0,1.41643059490085,0.28328611898017,0,0
W00006892,276,271,234,34,7,15,12,0,3,3,0,4,1,0,0,98.18840579710145,84.78260869565217,12.318840579710146,2.536231884057971,5.434782608695652,4.3478260869565215,0,1.0869565217391304,1.0869565217391304,0,1.4492753623188406,0.36231884057971014,0,0
W00006893,282,245,199,44,17,19,7,1,2,2,7,25,5,0,0,86.87943262411348,70.56737588652481,15.602836879432624,6.028368794326241,6.73758865248227,2.4822695035460995,0.3546099290780142,0.7092198581560284,0.7092198581560284,2.4822695035460995,8.865248226950355,1.773049645390071,0,0
W00006898,191,174,152,22,8,14,0,0,0,0,0,16,1,0,0,91.09947643979058,79.58115183246073,11.518324607329843,4.18848167539267,7.329842931937172,0,0,0,0,0,8.37696335078534,0.5235602094240838,0,0
W00006910,239,226,204,22,8,14,0,0,0,0,4,2,5,2,0,94.56066945606695,85.35564853556485,9.205020920502092,3.3472803347280333,5.857740585774058,0,0,0,0,1.6736401673640167,0.8368200836820083,2.092050209205021,0.8368200836820083,0
W00006873,216,209,207,2,1,1,0,0,0,0,0,6,1,0,0,96.75925925925925,95.83333333333334,0.9259259259259258,0.4629629629629629,0.4629629629629629,0,0,0,0,0,2.7777777777777777,0.4629629629629629,0,0
W00006874,259,257,254,3,3,0,0,0,0,0,0,0,0,2,0,99.22779922779922,98.06949806949807,1.1583011583011582,1.1583011583011582,0,0,0,0,0,0,0,0,0.7722007722007722,0
W00006884,296,294,294,0,0,0,0,0,0,0,0,1,0,1,0,99.32432432432432,99.32432432432432,0,0,0,0,0,0,0,0,0.33783783783783783,0,0.33783783783783783,0
W00006885,430,424,420,4,1,2,1,0,0,0,0,3,3,0,0,98.6046511627907,97.67441860465115,0.9302325581395349,0.23255813953488372,0.46511627906976744,0.23255813953488372,0,0,0,0,0.6976744186046512,0.6976744186046512,0,0
W00006886,298,296,295,1,1,0,0,0,0,0,0,1,1,0,0,99.32885906040269,98.99328859060402,0.33557046979865773,0.33557046979865773,0,0,0,0,0,0,0.33557046979865773,0.33557046979865773,0,0
